Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-01-06,"93,77%","94,27%","95,24%","75,00%","90,91%","100,00%","80,00%","94,63%","94,13%"
21-01-08,"95,10%","95,55%","95,08%","100,00%","100,00%","100,00%","85,71%","91,24%","93,36%"
21-01-10,"90,61%","90,35%","94,03%","47,62%","90,91%","81,82%","94,74%","87,73%","89,32%"
21-01-12,"89,94%","90,24%","93,43%","50,00%","100,00%","81,82%","85,00%","93,21%","91,38%"
21-01-14,"93,97%","94,77%","96,15%","87,50%","100,00%","63,64%","82,61%","86,73%","90,48%"
21-01-16,"70,33%","71,19%","69,79%","82,27%","31,82%","54,67%","61,06%","59,85%","68,63%"
21-01-18,"60,31%","66,02%","73,49%","70,60%","25,00%","47,44%","58,82%","54,76%","59,41%"
21-01-20,"65,83%","69,55%","75,70%","77,96%","22,73%","38,46%","44,68%","60,28%","65,02%"
21-01-22,"60,03%","61,62%","57,41%","75,56%","21,59%","39,74%","51,90%","53,85%","59,00%"
21-01-24,"67,04%","69,48%","79,42%","74,39%","20,45%","41,77%","52,30%","64,84%","66,71%"
21-01-26,"73,25%","76,43%","81,12%","76,80%","100,00%","44,30%","57,64%","49,54%","69,57%"
21-01-27,"71,43%","74,18%","81,56%","71,31%","100,00%","45,57%","57,29%","51,72%","68,25%"
21-01-29,"72,75%","75,03%","75,38%","78,00%","100,00%","48,10%","60,80%","73,30%","72,83%"
21-01-31,"74,54%","76,54%","80,29%","78,06%","100,00%","45,57%","63,64%","78,86%","75,11%"
21-02-01,"73,42%","77,36%","84,73%","77,00%","100,00%","44,30%","54,59%","58,22%","70,92%"
21-02-02,"72,64%","75,13%","82,30%","73,11%","100,00%","50,63%","58,25%","68,00%","71,89%"
21-02-06,"72,35%","77,70%","88,07%","72,55%","100,00%","58,23%","48,20%","58,80%","69,74%"
21-02-07,"67,88%","71,78%","83,88%","73,94%","23,53%","58,23%","46,51%","62,37%","66,86%"
21-02-08,"72,85%","78,55%","85,55%","75,00%","100,00%","63,29%","44,07%","64,87%","71,36%"
21-02-10,"67,11%","70,19%","68,83%","68,60%","100,00%","74,68%","50,42%","69,79%","67,59%"
21-02-11,"77,15%","81,58%","92,63%","72,31%","100,00%","82,28%","54,74%","62,75%","74,30%"
21-02-12,"76,79%","84,38%","91,21%","78,87%","100,00%","78,48%","51,60%","61,44%","73,76%"
21-02-14,"76,61%","84,66%","90,08%","82,13%","100,00%","69,62%","52,78%","56,56%","72,55%"
21-02-15,"75,89%","82,64%","90,81%","78,59%","100,00%","63,29%","50,83%","54,33%","70,90%"
21-02-16,"75,50%","82,71%","88,80%","78,57%","100,00%","70,67%","57,78%","64,16%","73,25%"
21-02-18,"78,69%","88,33%","90,27%","87,28%","100,00%","76,71%","50,60%","69,43%","76,62%"
21-02-20,"73,60%","84,04%","88,55%","82,15%","100,00%","62,50%","41,83%","67,00%","72,09%"
21-02-22,"73,89%","86,27%","88,61%","85,34%","100,00%","45,83%","40,71%","62,71%","71,18%"
21-02-24,"72,06%","84,38%","89,67%","80,67%","100,00%","53,85%","48,63%","73,14%","72,29%"
21-02-28,"73,50%","87,18%","93,06%","83,43%","100,00%","50,00%","38,43%","67,87%","72,23%"
21-03-02,"75,68%","89,46%","97,87%","84,23%","100,00%","42,31%","43,57%","69,81%","74,36%"
21-03-04,"78,58%","94,26%","103,81%","88,06%","100,00%","50,00%","42,70%","72,62%","77,21%"
21-03-07,"74,03%","87,86%","100,72%","79,15%","100,00%","46,15%","41,64%","74,27%","74,08%"
21-03-09,"76,82%","88,05%","100,98%","78,42%","100,00%","66,67%","45,36%","72,57%","75,89%"
21-03-11,"77,82%","89,03%","101,94%","78,95%","100,00%","75,00%","41,64%","75,54%","77,28%"
21-03-13,"73,74%","82,51%","96,24%","71,14%","100,00%","69,23%","44,84%","65,51%","72,24%"
21-03-15,"75,68%","85,88%","94,59%","78,94%","100,00%","57,69%","41,43%","66,02%","73,48%"
